British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Brambling,,Fringilla montifringilla,AF,,,,5630
Chaffinch,Eurasian Chaffinch,Fringilla coelebs,AEF,,,,5640
Evening Grosbeak,,Hesperiphona vespertina,A,†,,,5650
Hawfinch,,Coccothraustes coccothraustes,AF,,,,5660
Common Rosefinch,,Carpodacus erythrinus,A,,,,5670
Pine Grosbeak,,Pinicola enucleator,AEF,†,,,5680
Bullfinch,Eurasian Bullfinch,Pyrrhula pyrrhula,AF,,,,5690
Trumpeter Finch,,Bucanetes githagineus,AE,†,,,5700
Greenfinch,European Greenfinch,Chloris chloris,AEF,,,,5710
Twite,,Linaria flavirostris,AF,,,,5720
Linnet,Common Linnet,Linaria cannabina,AF,,,,5730
Redpoll,,Acanthis flammea,AF,‡,,,5740
Two-barred Crossbill,,Loxia leucoptera,A,†,,,5750
Parrot Crossbill,,Loxia pytyopsittacus,A,,,,5760
Scottish Crossbill,,Loxia scotica,A,,,,5770
Crossbill,Red Crossbill,Loxia curvirostra,AF,,,,5780
Citril Finch,,Carduelis citrinella,A,†,,,5790
Goldfinch,European Goldfinch,Carduelis carduelis,AF,,,,5800
Serin,European Serin,Serinus serinus,AF,,,,5810
Siskin,Eurasian Siskin,Spinus spinus,A,,,,5820
Snow Bunting,,Plectrophenax nivalis,AF,,,,5830
Lapland Bunting,Lapland Longspur,Calcarius lapponicus,AF,,,,5840
Pallas's Reed Bunting,,Emberiza pallasi,A,†,,,5850
Reed Bunting,Common Reed Bunting,Emberiza schoeniclus,AF,,,,5860
Yellow-browed Bunting,,Emberiza chrysophrys,A,†,,,5870
Chestnut Bunting,,Emberiza rutila,AE,†,,,5880
Yellow-breasted Bunting,,Emberiza aureola,AE,†,,,5890
Little Bunting,,Emberiza pusilla,A,,,,5900
Rustic Bunting,,Emberiza rustica,A,†,,,5910
Black-faced Bunting,,Emberiza spodocephala,AE,†,,,5920
Black-headed Bunting,,Emberiza melanocephala,AE,†,,,5930
Red-headed Bunting,,Emberiza bruniceps,AE,†,,,5940
Corn Bunting,,Emberiza calandra,AF,,,,5950
Chestnut-eared Bunting,,Emberiza fucata,A,†,,,5960
Rock Bunting,,Emberiza cia,A,†,,,5970
Ortolan Bunting,,Emberiza hortulana,AE,,,,5980
Cretzschmar's Bunting,,Emberiza caesia,A,†,,,5990
Cirl Bunting,,Emberiza cirlus,A,,,,6000
Pine Bunting,,Emberiza leucocephalos,A,†,,,6010
Yellowhammer,,Emberiza citrinella,AF,,,,6020
Lark Sparrow,,Chondestes grammacus,A,†,,,6030
Dark-eyed Junco,,Junco hyemalis,AE,†,,,6040
White-throated Sparrow,,Zonotrichia albicollis,AE,†,,,6050
White-crowned Sparrow,,Zonotrichia leucophrys,AE,†,,,6060
Savannah Sparrow,,Passerculus sandwichensis,A,†,,,6070
Song Sparrow,,Melospiza melodia,AE,†,,,6080
Eastern Towhee,,Pipilo erythrophthalmus,A,†,,,6090
Bobolink,,Dolichonyx oryzivorus,A,†,,,6100
Baltimore Oriole,,Icterus galbula,AE,†,,,6110
Red-winged Blackbird,,Agelaius phoeniceus,AE,†,,,6120
Brown-headed Cowbird,,Molothrus ater,A,†,,,6130
Ovenbird,,Seiurus aurocapilla,A,†,,,6140
Northern Waterthrush,,Parkesia noveboracensis,A,†,,,6150
Black-and-white Warbler,,Mniotilta varia,A,†,,,6160
Golden-winged Warbler,,Vermivora chrysoptera,A,†,,,6170
Tennessee Warbler,,Leiothlypis peregrina,A,†,,,6180
Common Yellowthroat,,Geothlypis trichas,A,†,,,6190
American Redstart,,Setophaga ruticilla,AE,†,,,6200
Hooded Warbler,,Setophaga citrina,A,†,,,6210
Northern Parula,,Setophaga americana,AE,†,,,6220
Magnolia Warbler,,Setophaga magnolia,AE,†,,,6230
Blackburnian Warbler,,Setophaga fusca,A,†,,,6240
Blackpoll Warbler,,Setophaga striata,AE,†,,,6250
